epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,2812.87,0.51285,1.03477,0.33422,0.91629,0.99917,1,0.995,0.93447,0.99917,1,0.995,0.83103,0.36413,0.93524,0.23336,0.87956,0.0009308,0.0009308,0.0009308
56,2863.26,0.50095,1.03789,0.33051,0.90932,0.99905,1,0.995,0.90575,0.99905,1,0.995,0.81573,0.37184,0.90729,0.22256,0.90098,0.000911,0.000911,0.000911
57,2914.07,0.50643,1.04158,0.33574,0.91741,0.99909,1,0.995,0.93066,0.99909,1,0.995,0.8286,0.37572,0.94389,0.21038,0.89913,0.0008912,0.0008912,0.0008912
58,2964.3,0.49096,1.00948,0.31837,0.91635,0.99897,1,0.995,0.93753,0.99897,1,0.995,0.82113,0.40054,0.9678,0.22795,0.9007,0.0008714,0.0008714,0.0008714
59,3016.5,0.50783,1.03876,0.32887,0.91089,0.99902,1,0.995,0.93105,0.99902,1,0.995,0.82969,0.3924,0.95252,0.2222,0.88627,0.0008516,0.0008516,0.0008516
60,3066.36,0.49648,0.98287,0.3298,0.91293,0.99612,1,0.995,0.93767,0.99612,1,0.995,0.83519,0.38891,0.93993,0.22891,0.88955,0.0008318,0.0008318,0.0008318
61,3118.91,0.49892,1.03067,0.32554,0.91364,0.99917,1,0.995,0.94488,0.99917,1,0.995,0.83868,0.35115,0.90574,0.20951,0.87676,0.000812,0.000812,0.000812
62,3169.99,0.50559,1.01928,0.32809,0.91744,0.99872,1,0.995,0.94147,0.99872,1,0.995,0.8308,0.34193,0.93638,0.21126,0.87971,0.0007922,0.0007922,0.0007922
63,3220.82,0.47328,1.01028,0.30705,0.9082,0.99909,1,0.995,0.93838,0.99909,1,0.995,0.8338,0.36472,0.93012,0.22307,0.88303,0.0007724,0.0007724,0.0007724
64,3271.23,0.47973,1.0122,0.30936,0.91224,0.99917,1,0.995,0.95519,0.99917,1,0.995,0.84118,0.3307,0.90728,0.20115,0.86602,0.0007526,0.0007526,0.0007526
65,3321.92,0.48507,1.01024,0.31998,0.9019,0.99912,1,0.995,0.94253,0.99912,1,0.995,0.81923,0.35891,0.90873,0.19523,0.88737,0.0007328,0.0007328,0.0007328
66,3372.44,0.47335,0.99986,0.30698,0.90443,0.99908,1,0.995,0.93949,0.99908,1,0.995,0.81333,0.33965,0.96462,0.19792,0.87196,0.000713,0.000713,0.000713
